Time_Stamp,Temperature (°C),RPM,Fuel_Efficiency,Vibration_X,Vibration_Y,Vibration_Z,Torque,Power_Output (kW),Fault_Condition,Operational_Mode
12/24/2024 10:00,60.3085849,3426.827588,20.44547154,0.874657205,0.005685971,0.529798305,107.8776585,23.36768383,2,Idle
12/24/2024 10:05,112.705055,2949.758424,23.08394699,0.696460682,0.391778691,0.12433612,60.35165506,57.94102232,3,Cruising
12/24/2024 10:10,108.6709757,1817.97104,20.55532584,0.495276013,0.189713598,0.886417216,110.9865643,47.73299848,2,Cruising
12/24/2024 10:15,107.1146906,2730.660539,23.22643109,0.986206005,0.983201681,0.468114157,77.41679296,44.11203927,2,Cruising
12/24/2024 10:20,118.075814,1854.488677,21.14822583,0.710809874,0.101138824,0.481034043,100.4758808,80.68197182,2,Cruising
12/24/2024 10:25,78.15721028,2324.480476,16.62744831,0.484482204,0.242013457,0.437503709,91.49507715,86.98182026,0,Cruising
12/24/2024 10:30,114.0845342,1128.439288,26.56184118,0.261974012,0.715317612,0.280294798,123.1568768,82.44166837,1,Cruising
12/24/2024 10:35,108.3999356,2424.950038,24.15541153,0.43218924,0.761121732,0.86990123,152.3490264,80.37180925,1,Idle
12/24/2024 10:40,84.48565524,1662.500402,25.53555672,0.140341619,0.34132607,0.172817575,90.76338381,27.12889906,0,Idle
12/24/2024 10:45,73.57344257,2815.996636,28.37597161,0.384356336,0.034135509,0.230662593,127.348256,31.82330046,1,Heavy Load
12/24/2024 10:50,89.21376436,3074.052256,18.53231174,0.722711327,0.404977754,0.137803099,63.89783796,80.56877006,3,Idle
12/24/2024 10:55,71.28905763,1475.719683,26.17740857,0.900113323,0.801507949,0.428096835,183.5240256,67.22660768,1,Idle
12/24/2024 11:00,79.15253565,3438.895028,26.01060986,0.531982108,0.137060408,0.115155877,68.64346897,56.51474458,2,Cruising
12/24/2024 11:05,76.33162391,1134.679399,28.24555979,0.350907847,0.076077869,0.803655612,108.7643091,28.1640661,3,Heavy Load
12/24/2024 11:10,101.2251426,3276.031092,24.07662304,0.187733879,0.81758095,0.394690979,169.9484089,66.628827,3,Idle
12/24/2024 11:15,83.3800623,1233.920012,29.01559824,0.944053244,0.309362617,0.668116492,186.7913873,62.89329392,3,Idle
12/24/2024 11:20,89.74148057,2100.43783,21.70265514,0.948152982,0.706127152,0.958980079,92.91772198,63.51916293,2,Cruising
